"Date","BitcoinTransactions"
"2013-01-01",38986
"2013-01-02",39433
"2013-01-03",49926
"2013-01-04",38931
"2013-01-05",39596
"2013-01-06",40860
"2013-01-07",35390
"2013-01-08",38624
"2013-01-09",51393
"2013-01-10",54662
"2013-01-11",52749
"2013-01-12",46837
"2013-01-13",43799
"2013-01-14",44560
"2013-01-15",52197
"2013-01-16",48021
"2013-01-17",48100
"2013-01-18",56455
"2013-01-19",41636
"2013-01-20",41371
"2013-01-21",40199
"2013-01-22",48267
"2013-01-23",46678
"2013-01-24",46045
"2013-01-25",53420
"2013-01-26",52366
"2013-01-27",52321
"2013-01-28",53617
"2013-01-29",51703
"2013-01-30",46104
"2013-01-31",56756
"2013-02-01",59382
"2013-02-02",56212
"2013-02-03",57480
"2013-02-04",55005
"2013-02-05",44783
"2013-02-06",58215
"2013-02-07",61237
"2013-02-08",50847
"2013-02-09",57363
"2013-02-10",56443
"2013-02-11",58851
"2013-02-12",57398
"2013-02-13",59090
"2013-02-14",57505
"2013-02-15",51218
"2013-02-16",51433
"2013-02-17",46318
"2013-02-18",55598
"2013-02-19",54519
"2013-02-20",58996
"2013-02-21",58920
"2013-02-22",62171
"2013-02-23",57795
"2013-02-24",65164
"2013-02-25",67144
"2013-02-26",62952
"2013-02-27",60993
"2013-02-28",63021
"2013-03-01",60659
"2013-03-02",49631
"2013-03-03",54459
"2013-03-04",56039
"2013-03-05",66437
"2013-03-06",62760
"2013-03-07",64814
"2013-03-08",47671
"2013-03-09",55546
"2013-03-10",67610
"2013-03-11",44410
"2013-03-12",48484
"2013-03-13",58832
"2013-03-14",60064
"2013-03-15",62776
"2013-03-16",34164
"2013-03-17",39391
"2013-03-18",43485
"2013-03-19",42579
"2013-03-20",53840
"2013-03-21",55564
"2013-03-22",58002
"2013-03-23",49834
"2013-03-24",51335
"2013-03-25",47247
"2013-03-26",51993
"2013-03-27",53207
"2013-03-28",66205
"2013-03-29",59787
"2013-03-30",59196
"2013-03-31",52469
"2013-04-01",60268
"2013-04-02",63276
"2013-04-03",69048
"2013-04-04",56063
"2013-04-05",61373
"2013-04-06",58820
"2013-04-07",63470
"2013-04-08",61680
"2013-04-09",68820
"2013-04-10",67725
"2013-04-11",68407
"2013-04-12",55361
"2013-04-13",53417
"2013-04-14",55471
"2013-04-15",65797
"2013-04-16",56164
"2013-04-17",56706
"2013-04-18",57863
"2013-04-19",48016
"2013-04-20",48302
"2013-04-21",46737
"2013-04-22",57304
"2013-04-23",61668
"2013-04-24",61214
"2013-04-25",56533
"2013-04-26",55264
"2013-04-27",40986
"2013-04-28",50009
"2013-04-29",51776
"2013-04-30",50437
"2013-05-01",57278
"2013-05-02",55429
"2013-05-03",48349
"2013-05-04",49419
"2013-05-05",50332
"2013-05-06",59215
"2013-05-07",47359
"2013-05-08",50439
"2013-05-09",67937
"2013-05-10",70410
"2013-05-11",73402
"2013-05-12",62190
"2013-05-13",63287
"2013-05-14",66470
"2013-05-15",60543
"2013-05-16",60896
"2013-05-17",58731
"2013-05-18",47090
"2013-05-19",50093
"2013-05-20",48821
"2013-05-21",53981
"2013-05-22",54824
"2013-05-23",59789
"2013-05-24",55836
"2013-05-25",39879
"2013-05-26",40722
"2013-05-27",55138
"2013-05-28",54919
"2013-05-29",55060
